imbalance_method,feature_selection_method,k,accuracy,micro_f1,macro_f1,weighted_f1
,automatic,21,0.7044110690633869,0.7044110690633869,0.4403793925155728,0.7514775236029779
,automatic,18,0.7006661936297698,0.7006661936297698,0.4382206006930834,0.7473048225100549
,automatic,20,0.6968818984547461,0.6968818984547461,0.4374707180410761,0.7460065309630648
undersampling,automatic,21,0.680424156417534,0.680424156417534,0.43394632426422447,0.7408490126057717
,automatic,15,0.6984192683695994,0.6984192683695994,0.43328135819223307,0.7454594021447117
SMOTE,automatic,20,0.6797540208136235,0.6797540208136235,0.4318138152631592,0.7404522882263577
oversampling,automatic,21,0.6711210974456008,0.6711210974456008,0.4283987370862467,0.7328802501410641
undersampling,automatic,18,0.6466611479028698,0.6466611479028698,0.42526617229136504,0.7177357697132569
SMOTE,automatic,21,0.6623304951119521,0.6623304951119521,0.42430807046352026,0.7290027442282789
SMOTE,automatic,18,0.6590586565752129,0.6590586565752129,0.4236393420599114,0.7263615919155914
undersampling,automatic,20,0.6481196783349101,0.6481196783349101,0.4219267660324186,0.7170264645786764
oversampling,automatic,20,0.6504060233364869,0.6504060233364869,0.4218949858038726,0.7200281667209982
undersampling,automatic,15,0.6400780510879849,0.6400780510879849,0.420746436390291,0.7110508302309859
SMOTE,automatic,15,0.6400780510879849,0.6400780510879849,0.416938594360841,0.7159734707793608
oversampling,automatic,18,0.622299747713655,0.622299747713655,0.41620004950498535,0.7017471814174555
oversampling,automatic,15,0.614356669820246,0.614356669820246,0.4151514695576826,0.7001218405816015
